level,series,comparison,model_a,model_b,horizon,n,origins,mae_a,mae_b,delta_mae_pct_b_vs_a,delta_mae_pct_ci95_lo,delta_mae_pct_ci95_hi,better_by_mae,dm_abs,p_abs,sig_abs,dm_sq,p_sq,sig_sq
path,Global,Chronos-2 validated vs ARIMA,chronos2_C1_validated_global,arima,12,432,36,1.3011076838248274,1.5443560436970605,18.695482541242328,-2.1507700380792736,46.6115083814056,chronos2_C1_validated_global,-1.2818234421762411,0.20059369217243647,ns,-1.079668200256559,0.28089376837081514,ns
endpoint,Global,Chronos-2 validated vs ARIMA,chronos2_C1_validated_global,arima,1,47,47,0.2722821971044227,0.19070136808278298,-29.96186672841953,-48.61018218710133,-2.4767813336229914,arima,2.1062179473489744,0.04067153665395109,**,2.3226994440232906,0.02467311057993284,**
endpoint,Global,Chronos-2 validated vs ARIMA,chronos2_C1_validated_global,arima,3,45,45,0.4609602186337914,0.539317190004311,16.998640707598696,-10.390109914645771,55.52407376831997,chronos2_C1_validated_global,-0.8822269897318172,0.382448536372085,ns,-0.5995263982405185,0.5518968200763832,ns
endpoint,Global,Chronos-2 validated vs ARIMA,chronos2_C1_validated_global,arima,6,42,42,1.106608425748109,1.2438891695546392,12.405539359030566,-9.171906299811228,43.088646363951185,chronos2_C1_validated_global,-0.5784262242488436,0.5661403780043238,ns,-0.4314019185843855,0.6684361464778625,ns
endpoint,Global,Chronos-2 validated vs ARIMA,chronos2_C1_validated_global,arima,12,36,36,2.2619947153108715,2.894440977878863,27.9596702099754,0.4268264678780208,63.71117738449936,chronos2_C1_validated_global,nan,nan,NA,nan,nan,NA
path,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,1,47,47,0.2722821971044227,0.17866293951079507,-34.38317252806793,-53.07376246687621,-6.694360093380116,auto_arima,2.3993594807859457,0.02053159830694822,**,2.2625174691560206,0.028432227827424304,**
path,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,3,135,45,0.35580074689076235,0.3304854813320288,-7.115011921688239,-28.140873162138575,23.052797643748978,auto_arima,0.4637157513396902,0.6436037818995163,ns,0.08884367150372666,0.9293387951066149,ns
path,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,6,252,42,0.6227630846912038,0.6059106368105316,-2.7060768846034695,-27.06139193356135,29.248688389597458,auto_arima,0.1450641961066797,0.8847766047451561,ns,-0.10511235300553147,0.9163706060159229,ns
path,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,12,432,36,1.3011076838248274,1.3294378126417792,2.177385405462406,-22.536525754033086,34.131466666184764,chronos2_C1_validated_global,-0.10960958793391219,0.9127700218597364,ns,-0.4695425750828735,0.6389193136266168,ns
endpoint,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,1,47,47,0.2722821971044227,0.17866293951079507,-34.38317252806793,-53.07376246687621,-6.694360093380116,auto_arima,2.3993594807859457,0.02053159830694822,**,2.2625174691560206,0.028432227827424304,**
endpoint,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,3,45,45,0.4609602186337914,0.4924527858423966,6.831949034982649,-20.471281249364708,45.752533026189425,chronos2_C1_validated_global,-0.23632270839433148,0.814278963005869,ns,-0.21572110872873113,0.83020205917043,ns
endpoint,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,6,42,42,1.106608425748109,1.0713662942126052,-3.184697560176158,-30.55891021647317,35.001101071894965,auto_arima,0.07046226424369875,0.9441683091188444,ns,-0.049821383706851914,0.9605066513771183,ns
endpoint,Global,Chronos-2 validated vs AutoARIMA,chronos2_C1_validated_global,auto_arima,12,36,36,2.2619947153108715,2.482112228302531,9.731124104832766,-16.137223804855577,41.99306109729443,chronos2_C1_validated_global,-0.29047228296007765,0.7731691667290338,ns,-0.5990836934219225,0.5529753513845281,ns
